,name,position,year_end,smallname
504,Lorenzo Brown,G,2018,L. Brown
517,Sterling Brown,G,2018,S. Brown
525,Nicolas Brussino,G-F,2018,N. Brussino
530,Thomas Bryant,C,2018,T. Bryant
545,Reggie Bullock,G-F,2018,R. Bullock
553,Trey Burke,G,2017,T. Burke
555,Alec Burks,G,2018,A. Burks
577,Jimmy Butler,F-G,2018,J. Butler
591,Bruno Caboclo,F,2018,B. Caboclo
596,Jose Calderon,G,2018,J. Calderon
600,Kentavious Caldwell-Pope,G,2018,K. Caldwell-Pope
612,Isaiah Canaan,G,2018,I. Canaan
614,Clint Capela,C,2018,C. Capela
636,DeMarre Carroll,F,2018,D. Carroll
649,Vince Carter,G-F,2018,V. Carter
650,Michael Carter-Williams,G,2018,M. Carter-Williams
653,Alex Caruso,G,2018,A. Caruso
657,Omri Casspi,F,2018,O. Casspi
663,Willie Cauley-Stein,F-C,2018,W. Cauley-Stein
665,Tyler Cavanaugh,F,2018,T. Cavanaugh
671,Mario Chalmers,G,2018,M. Chalmers
677,Tyson Chandler,C,2018,T. Chandler
678,Wilson Chandler,F,2018,W. Chandler
697,Marquese Chriss,F,2018,M. Chriss
703,Rakeem Christmas,F,2017,R. Christmas
704,Semaj Christon,G,2017,S. Christon
711,Ian Clark,G,2018,I. Clark
715,Jordan Clarkson,G,2018,J. Clarkson
716,Gian Clavell,G,2018,G. Clavell
724,Antonius Cleveland,G,2018,A. Cleveland
734,Norris Cole,G,2017,N. Cole
749,John Collins,F,2018,J. Collins
752,Zach Collins,C-F,2018,Z. Collins
753,Kyle Collinsworth,G-F,2018,K. Collinsworth
754,Darren Collison,G,2018,D. Collison
755,Nick Collison,F,2018,N. Collison
767,Mike Conley,G,2018,M. Conley
770,Pat Connaughton,G,2018,P. Connaughton
784,Quinn Cook,G,2018,Q. Cook
785,Charles Cooke,G,2018,C. Cooke
788,Jack Cooley,F-C,2018,J. Cooley
804,Matt Costello,F,2018,M. Costello
813,DeMarcus Cousins,C-F,2018,D. Cousins
815,Robert Covington,F,2018,R. Covington
820,Allen Crabbe,G-F,2018,A. Crabbe
821,Torrey Craig,G-F,2018,T. Craig
824,Jamal Crawford,G,2018,J. Crawford
826,Jordan Crawford,G,2018,J. Crawford
848,Jae Crowder,F,2018,J. Crowder
854,Dante Cunningham,F,2018,D. Cunningham
867,Seth Curry,G,2017,S. Curry
868,Stephen Curry,G,2018,S. Curry
884,Troy Daniels,G,2018,T. Daniels
901,Anthony Davis,F-C,2018,A. Davis
913,Deyonta Davis,F-C,2018,D. Davis
915,Ed Davis,F,2018,E. Davis
957,Dewayne Dedmon,C,2018,D. Dedmon
963,Sam Dekker,F,2018,S. Dekker
965,Malcolm Delaney,G,2018,M. Delaney
969,Matthew Dellavedova,G,2018,M. Dellavedova
975,Luol Deng,F,2018,L. Deng
982,DeMar DeRozan,G-F,2018,D. DeRozan
987,Cheick Diallo,F,2018,C. Diallo
988,Boris Diaw,F-C,2017,B. Diaw
1000,Gorgui Dieng,C,2018,G. Dieng
1013,Spencer Dinwiddie,G,2018,S. Dinwiddie
1033,Tyler Dorsey,G,2018,T. Dorsey
1034,Damyean Dotson,G,2018,D. Dotson
1040,Toney Douglas,G,2017,T. Douglas
1049,Goran Dragic,G,2018,G. Dragic
1061,Andre Drummond,C,2018,A. Drummond
1066,Jared Dudley,F-G,2018,J. Dudley
1080,Mike Dunleavy,F-G,2017,M. Dunleavy
1081,Kris Dunn,G,2018,K. Dunn
1085,Kevin Durant,F-G,2018,K. Durant
1109,Jarell Eddie,G-F,2017,J. Eddie
1138,Henry Ellenson,F,2018,H. Ellenson
1139,Wayne Ellington,G,2018,W. Ellington
1150,Monta Ellis,G,2017,M. Ellis
1156,Joel Embiid,C-F,2018,J. Embiid
1169,James Ennis,F,2018,J. Ennis
1170,Tyler Ennis,G,2018,T. Ennis
1183,Jawun Evans,G,2018,J. Evans
1188,Tyreke Evans,G-F,2018,T. Evans
1192,Dante Exum,G,2017,D. Exum
1199,Kenneth Faried,F,2018,K. Faried
1201,Jordan Farmar,G,2017,J. Farmar
1208,Derrick Favors,F-C,2018,D. Favors
1217,Kay Felder,G,2018,K. Felder
1218,Cristiano Felicio,F-C,2018,C. Felicio
1222,Raymond Felton,G,2018,R. Felton
1226,Terrance Ferguson,G-F,2018,T. Ferguson
1232,Yogi Ferrell,G,2018,Y. Ferrell
1246,Dorian Finney-Smith,F,2018,D. Finney-Smith
1268,Bryn Forbes,G,2018,B. Forbes
1291,Evan Fournier,G-F,2018,E. Fournier
1296,De'Aaron Fox,G,2018,D. Fox
1300,Randy Foye,G,2017,R. Foye
1309,Tim Frazier,G,2018,T. Frazier
1324,Channing Frye,C-F,2018,C. Frye
1333,Markelle Fultz,G,2018,M. Fultz
1348,Danilo Gallinari,F,2018,D. Gallinari
1349,Langston Galloway,G,2018,L. Galloway
1363,Patricio Garino,G-F,2017,P. Garino
1382,Marc Gasol,C,2018,M. Gasol
1383,Pau Gasol,F-C,2018,P. Gasol
1387,Rudy Gay,F,2018,R. Gay
1390,Michael Gbinije,G,2017,M. Gbinije
1392,Alonzo Gee,G,2017,A. Gee
1397,Paul George,F,2018,P. George
1399,Marcus Georges-Hunt,G,2018,M. Georges-Hunt
1409,Jonathan Gibson,G,2017,J. Gibson
1412,Taj Gibson,F,2018,T. Gibson
